"","mk","fr","ma","md","env","price_raw","ph","ra"
"78","""Volkswagen""","""-/-""","""1""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","19127","""110""","4.5"
"79","""Volkswagen""","""-/-""","""0""","""Golf""","""3,9 l/100 km (komb.)***, 102 g CO2/km (komb.)***""}","19173","""110""","4.5"
"80","""Volkswagen""","""-/-""","""0""","""Golf""","""4,3 l/100 km (komb.)***, 121 g CO2/km (komb.)***""}","19246","""150""","3.9"
"81","""Volkswagen""","""10/2012""","""79.500""","""Golf""","""5,9 l/100 km (komb.)***, 156 g CO2/km (komb.)***""}","17990","""170""","4.3"
"82","""Volkswagen""","""07/2014""","""21.413""","""Golf Sportsvan""","""5,3 l/100 km (komb.)***, 126 g CO2/km (komb.)***""}","17990","""110""","4.2"
"83","""Volkswagen""","""05/2015""","""3.340""","""Golf""","""4,9 l/100 km (komb.)***, 116 g CO2/km (komb.)***""}","17990","""110""","3.3"
"84","""Volkswagen""","""03/2014""","""38.490""","""Golf""","""3,9 l/100 km (komb.)***, 102 g CO2/km (komb.)***""}","17990","""105""","4.1"
"85","""Volkswagen""","""08/2014""","""8.858""","""Golf Sportsvan""","""5,6 l/100 km (komb.)***, 132 g CO2/km (komb.)***""}","17990","""125""","4.8"
"86","""Volkswagen""","""12/2015""","""2.000""","""Golf""","""5,0 l/100 km (komb.)***, 116 g CO2/km (komb.)***""}","17990","""125""","4.4"
"87","""Volkswagen""","""-/-""","""0""","""Golf""","""5,3 l/100 km (komb.)***, 123 g CO2/km (komb.)***""}","18098","""125""","4.5"
"88","""Volkswagen""","""-/-""","""0""","""Golf""","""5,3 l/100 km (komb.)***, 123 g CO2/km (komb.)***""}","18098","""125""","3.9"
"89","""Volkswagen""","""08/2016""","""0""","""Golf""","""3,8 l/100 km (komb.)***, 99 g CO2/km (komb.)***""}","18154","""110""","4.6"
"90","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""4,0 l/100 km (komb.)***, 105 g CO2/km (komb.)***""}","18183","""110""","4.5"
"91","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,5 l/100 km (komb.)***, 127 g CO2/km (komb.)***""}","18226","""125""","4.5"
"92","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,5 l/100 km (komb.)***, 127 g CO2/km (komb.)***""}","18226","""125""","3.9"
"93","""Volkswagen""","""-/-""","""0""","""Golf Sportsvan""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18250","""110""","4.0"
"94","""Volkswagen""","""12/2014""","""7.887""","""Golf""","""5,2 l/100 km (komb.)***, 123 g CO2/km (komb.)***""}","18290","""125""","4.5"
"95","""Volkswagen""","""07/2014""","""27.300""","""Golf""","""4,1 l/100 km (komb.)***, 106 g CO2/km (komb.)***""}","18328","""150""","4.8"
"96","""Volkswagen""","""-/-""","""0""","""Golf""","""5,0 l/100 km (komb.)***, 115 g CO2/km (komb.)***""}","18376","""110""","3.9"
"97","""Volkswagen""","""05/2015""","""11.958""","""Golf Variant""","""3,9 l/100 km (komb.)***, 102 g CO2/km (komb.)***""}","18380","""105""","null"
"98","""Volkswagen""","""09/2014""","""18.350""","""Golf""","""5,0 l/100 km (komb.)***, 119 g CO2/km (komb.)***""}","18390","""105""","4.0"
"99","""Volkswagen""","""-/-""","""0""","""Golf Variant""","""5,1 l/100 km (komb.)***, 117 g CO2/km (komb.)***""}","18395","""110""","4.0"
"100","""Volkswagen""","""11/2013""","""28.389""","""Golf Variant""","""5,3 l/100 km (komb.)***, 125 g CO2/km (komb.)***""}","18410","""140""","3.8"
